Sigma,Payload_Size,WaitTimeDC,NoDLReceived,UniquePackets,TotalPackets,CollidedPackets,RetransmittedPackets,TotalBytes,TotalEnergy,TxRxEnergy,EnergyValuePackets,name
7.9,5,0.0,18.5,53.9,72.4,0.0,18.5,362.0,48017.19218637013,1927.8172532400017,570.9000000000001,1.58
7.9,10,0.0,3.8000000000000003,26.4,30.2,0.0,3.8000000000000003,302.0,46467.365380810064,1321.0406032,363.0,1.58
7.9,15,0.0,0.0,17.6,17.6,0.0,0.0,264.0,47281.06910845204,2135.5570392,306.29999999999995,1.58
7.9,20,0.0,0.0,13.1,13.1,0.0,0.0,262.0,45995.82378591102,1192.692583,213.3,1.58
7.9,25,0.0,0.0,10.600000000000001,10.600000000000001,0.0,0.0,265.0,46281.35697788602,965.4444668,171.3,1.58
7.9,30,0.0,0.0,8.6,8.6,0.0,0.0,258.0,45490.25534593701,1371.5150852000002,144.3,1.58
7.9,35,0.0,0.0,7.0,7.0,0.0,0.0,245.0,43069.68667362201,1174.0839572,118.3,1.58
7.9,40,0.0,0.0,6.4,6.4,0.0,0.0,256.0,44785.51927698901,1008.969972,102.6,1.58
7.9,45,0.0,0.0,5.5,5.5,0.0,0.0,247.5,43002.932382025014,679.9596430000001,87.3,1.58
7.9,50,0.0,0.0,5.0,5.0,0.0,0.0,250.0,43637.016637406006,886.586726,82.5,1.58
